,DE.N.MFH.01.,DE.N.MFH.02.,DE.N.MFH.03.,DE.N.MFH.04.,DE.N.MFH.05.,DE.N.MFH.06.,DE.N.MFH.07.,DE.N.MFH.08.,DE.N.MFH.09.,DE.N.MFH.10.,DE.N.MFH.11.,DE.N.MFH.12.,DE.N.SFH.01.,DE.N.SFH.02.,DE.N.SFH.03.,DE.N.SFH.04.,DE.N.SFH.05.,DE.N.SFH.06.,DE.N.SFH.07.,DE.N.SFH.08.,DE.N.SFH.09.,DE.N.SFH.10.,DE.N.SFH.11.,DE.N.SFH.12.,DE.N.TH.02.,DE.N.TH.03.,DE.N.TH.04.,DE.N.TH.05.,DE.N.TH.06.,DE.N.TH.07.,DE.N.TH.08.,DE.N.TH.09.,DE.N.TH.10.,DE.N.TH.11.,DE.N.TH.12.
yearofconstruction,1859,1918,1948,1957,1968,1978,1983,1994,2001,2009,2015,2025,1859,1918,1948,1957,1968,1978,1983,1994,2001,2009,2015,2025,1918,1948,1957,1968,1978,1983,1994,2001,2009,2015,2025
numberofunits,5,4,2,9,32,8,9,10,12,19,17,17,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
numberOfUnits_withSelfUse,5,4,2,9,32,8,9,10,12,19,17,17,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
livingarea,677.5,312.4,385,632.3,3129.1,468.6,654,778.1,834.9,2190.1,1305,1305,218.9,141.8,302.5,111.1,121.2,173.3,215.6,150.2,121.9,146.5,186.8,186.8,96,112.8,149.6,117.4,106.3,108.3,127.6,148.8,151.9,195.8,195.8
fullfloors,4,4,3,3,4,4,3,3,4,3,5,5,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
connectedbuildings,freestanding,rowhouse,freestanding,freestanding,semidetached,freestanding,freestanding,freestanding,semidetached,freestanding,freestanding,freestanding,freestanding,freestanding,freestanding,freestanding,freestanding,freestanding,semidetached,semidetached,freestanding,freestanding,freestanding,freestanding,rowhouse,rowhouse,semidetached,rowhouse,rowhouse,rowhouse,semidetached,rowhouse,semidetached,semidetached,semidetached
postalCode,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467,14467
HeatingSystem_Emission,radiators,radiators,radiators,radiators,radiators,radiators,radiators,radiators,radiators,radiators,floorheating,floorheating,radiators,radiators,radiators,radiators,radiators,radiators,radiators,radiators,radiators,floorheating,floorheating,floorheating,radiators,radiators,radiators,radiators,radiators,radiators,radiators,radiators,floorheating,floorheating,floorheating
Heating_PipesAreInsulated,false,false,false,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,true,true,true,true,true,true,false,false,false,false,false,true,true,true,true,true,true
dhw_TypeOfGeneration,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined,combined
