,DE.N.MFH.01.,DE.N.MFH.02.,DE.N.MFH.03.,DE.N.MFH.04.,DE.N.MFH.05.,DE.N.MFH.06.,DE.N.MFH.07.,DE.N.MFH.08.,DE.N.MFH.09.,DE.N.MFH.10.,DE.N.MFH.11.,DE.N.MFH.12.,DE.N.SFH.01.,DE.N.SFH.02.,DE.N.SFH.03.,DE.N.SFH.04.,DE.N.SFH.05.,DE.N.SFH.06.,DE.N.SFH.07.,DE.N.SFH.08.,DE.N.SFH.09.,DE.N.SFH.10.,DE.N.SFH.11.,DE.N.SFH.12.,DE.N.TH.02.,DE.N.TH.03.,DE.N.TH.04.,DE.N.TH.05.,DE.N.TH.06.,DE.N.TH.07.,DE.N.TH.08.,DE.N.TH.09.,DE.N.TH.10.,DE.N.TH.11.,DE.N.TH.12.
typeOfRoof,mansardroof,gableroof,hiproof,hiproof,gableroof,flatroof,monopitchroof,flatroof,flatroof,mansardroof,flatroof,flatroof,gableroof,gableroof,mansardroof,gableroof,gableroof,flatroof,gableroof,gableroof,gableroof,gableroof,gableroof,gableroof,gableroof,gableroof,flatroof,flatroof,gableroof,gableroof,gableroof,gableroof,monopitchroof,gableroof,gableroof
Roof_MainOrientation,east,east,east,east,east,None,north,None,None,east,None,None,east,east,east,east,east,None,east,east,east,east,south,south,east,east,None,None,east,east,east,east,north,south,south
roof_Occupation,heated,unheated,heated,unheated,unheated,unheated,unheated,unheated,unheated,heatedwithunheatedtopfloor,-,-,heated,heated,heated,heated,heated,-,heated,heated,heated,heated,unheated,unheated,unheated,unheated,-,-,unheated,unheated,heated,heated,heated,heated,heated
ConsiderMeasureRoof_ConversionOfAttic,None,false,None,false,false,false,false,false,false,false,None,None,None,None,None,None,None,None,None,None,None,None,true,true,false,false,None,None,false,false,None,None,None,None,None
roof_NumberOfDormers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
facade_Type,timberframe ,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,timberframe,massive,massive,massive,Andere,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,massive,
facade_State,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage,nodamage
Windows_Glazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,tripleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,tripleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,doubleglazing,tripleglazing
Windows_Frame,wood,wood,pvc,pvc,pvc,pvc,pvc,pvc,pvc,pvc,wood,wood,wood,wood,wood,wood,wood,wood,pvc,pvc,pvc,pvc,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood,wood
Windows_GlazingReplacedYear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windows_ShareOfSecondSystem,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
basement_Heated,unheated,heated, partlyheated,unheated,unheated,unheated,unheated,unheated,unheated,unheated,no_basement,no_basement,unheated,unheated,unheated,unheated,unheated,unheated,unheated,unheated,unheated,unheated,no_basement,no_basement,heated,unheated,unheated,unheated,unheated,unheated, partlyheated,unheated, partlyheated,unheated,unheated
basement_CeilingType,timberceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,Andere,Andere,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,timberceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling,massiveceiling
basement_IsVaultedCellar,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Basement_RoomHeight,lessthan200cm,between200and220cm,between200and220cm,between200and220cm,between200and220cm,between200and220cm,morethan220cm,morethan220cm,morethan220cm,morethan220cm,morethan220cm,morethan220cm,lessthan200cm,lessthan200cm,between200and220cm,between200and220cm,between200and220cm,between200and220cm,between200and220cm,morethan220cm,morethan220cm,morethan220cm,morethan220cm,morethan220cm,lessthan200cm,between200and220cm,between200and220cm,between200and220cm,between200and220cm,between200and220cm,morethan220cm,morethan220cm,morethan220cm,morethan220cm,morethan220cm
hasPV,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
window_area_tabula,106.97,54.08,71.16,98.72,507.48,81.3,99.37,161,162.8,308.7,243.6,243.6,28.78,22.3,52.35,18.4,27.1,34.21,27,29.67,32.46,28.3,42,42,18091,21.48,46.67,13.52,23.36,20.25,18.75,22.4,36.3,28.1,28.1
roof_area_tabula,284.1,102.8,189.6,355,971.11,216.7,248.25,249.4,283.7,580,321.05,321.05,134.19,83.12,213.99,125.4,168.9,183.13,100.8,123.2,115.5,85.91,131.9,131.9,60,50.35,81.2,46.2,60.85,97.63,64.87,77.4,91.3,75.7,75.7
